%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 439236774, time taken: 18 microseconds
[Randmoised Selection] - Median: 439236774, time taken: 19 microseconds
[Median of Medians] - Median: 439236774, time taken: 15 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 538003654, time taken: 67 microseconds
[Randmoised Selection] - Median: 538003654, time taken: 24 microseconds
[Median of Medians] - Median: 538003654, time taken: 9 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 541265340, time taken: 48 microseconds
[Randmoised Selection] - Median: 541265340, time taken: 7 microseconds
[Median of Medians] - Median: 541265340, time taken: 17 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 451275150, time taken: 11 microseconds
[Randmoised Selection] - Median: 451275150, time taken: 9 microseconds
[Median of Medians] - Median: 451275150, time taken: 8 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 475969158, time taken: 16 microseconds
[Randmoised Selection] - Median: 475969158, time taken: 36 microseconds
[Median of Medians] - Median: 475969158, time taken: 10 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 474950231, time taken: 17 microseconds
[Randmoised Selection] - Median: 474950231, time taken: 5 microseconds
[Median of Medians] - Median: 474950231, time taken: 15 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 480183366, time taken: 16 microseconds
[Randmoised Selection] - Median: 480183366, time taken: 7 microseconds
[Median of Medians] - Median: 480183366, time taken: 12 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 537650337, time taken: 12 microseconds
[Randmoised Selection] - Median: 537650337, time taken: 4 microseconds
[Median of Medians] - Median: 537650337, time taken: 6 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 491577026, time taken: 29 microseconds
[Randmoised Selection] - Median: 491577026, time taken: 7 microseconds
[Median of Medians] - Median: 491577026, time taken: 10 microseconds
--------------------------------------[Arrays of size 500]--------------------------------------
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 479448941, time taken: 31 microseconds
[Randmoised Selection] - Median: 479448941, time taken: 12 microseconds
[Median of Medians] - Median: 479448941, time taken: 29 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 534749802, time taken: 37 microseconds
[Randmoised Selection] - Median: 534749802, time taken: 11 microseconds
[Median of Medians] - Median: 534749802, time taken: 62 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 511233210, time taken: 33 microseconds
[Randmoised Selection] - Median: 511233210, time taken: 9 microseconds
